Température à partir de la résistance
Résistance (O)	Équation linéaire (°C)	Table par interpolation (°C)	Écart (%)
10,00	-233,77	-219,41	6,54
15,00	-220,78	-207,96	6,16
20,00	-207,79	-196,51	5,74
25,00	-194,81	-184,87	5,37
30,00	-181,82	-173,12	5,03
50,00	-129,87	-125,12	3,79
75,00	-64,94	-63,34	2,52
100,00	0,00	0,00	 
102,00	5,19	5,12	1,41
103,00	7,79	7,69	1,38
107,79	20,23	19,99	1,20
115,54	40,36	40,00	0,90
120,00	51,95	51,57	0,73
123,24	60,36	60,00	0,60
130,90	80,26	80,02	0,30
150,00	129,87	130,47	-0,46
175,00	194,81	197,72	-1,47
200,00	259,74	266,42	-2,51
210,00	285,71	294,33	-2,93
220,00	311,69	322,50	-3,35
250,00	389,61	408,63	-4,66
275,00	454,55	482,34	-5,76
300,00	519,48	557,99	-6,90
310,00	545,45	588,83	-7,37
399,00	776,62	880,11	-11,76
