Time;CH 1 Object Temperature;CH 1 Sink Temperature;CH 1 Target Object Temperature;CH 1 (Ramp) Nominal Temperature;CH 1 Thermal Power Model Current;CH 1 Actual Output Current;CH 1 Actual Output Voltage;CH 1 PID Control Variable;CH 2 Object Temperature;CH 2 Sink Temperature;CH 2 Target Object Temperature;CH 2 (Ramp) Nominal Temperature;CH 2 Thermal Power Model Current;CH 2 Actual Output Current;CH 2 Actual Output Voltage;CH 2 PID Control Variable;Driver Input Voltage;Device Temperature;Error Number;Error Instance;Error Parameter;CH1 FAN Speed;CH2 FAN Speed;
2018-02-05 15:02:52;25.0118;25;25;25;0.2896821;0.2849839;0.3969775;14.83343;;;0;0;0;0;0;0;18.48532;40.84375;0;0;0;0;0;
2018-02-05 15:03:52;24.99873;25;25;25;0.3823861;0.3848052;0.5240657;19.91423;;;0;0;0;0;0;0;18.49686;40.6875;0;0;0;0;0;
2018-02-05 15:04:52;24.98598;25;25;25;0.5127544;0.5077571;0.6946852;27.20415;;;0;0;0;0;0;0;18.50166;40.46875;0;0;0;0;0;
2018-02-05 15:05:52;24.98607;25;25;25;0.4076476;0.4204708;0.5887442;21.3786;;;0;0;0;0;0;0;18.50029;40.3125;0;0;0;0;0;
2018-02-05 15:06:52;25.00652;25;25;25;0.3177916;0.3362882;0.4650885;16.37147;;;0;0;0;0;0;0;18.49301;40.1875;0;0;0;0;0;
2018-02-05 15:07:52;25.00957;25;25;25;0.3288979;0.3272379;0.45138;16.94767;;;0;0;0;0;0;0;18.50441;40.09375;0;0;0;0;0;
2018-02-05 15:08:52;25.04576;25;25;25;0.1654681;0.1648282;0.2504287;8.083553;;;0;0;0;0;0;0;18.49384;40;0;0;0;0;0;
2018-02-05 15:09:52;24.98018;25;25;25;0.3756379;0.3767464;0.5155233;19.67161;;;0;0;0;0;0;0;18.50414;39.78125;0;0;0;0;0;
2018-02-05 15:10:52;25.0031;25;25;25;0.3263039;0.3241281;0.4525509;16.85128;;;0;0;0;0;0;0;18.5051;39.625;0;0;0;0;0;
2018-02-05 15:11:52;24.98924;25;25;25;0.2931709;0.2888572;0.4003622;15.17021;;;0;0;0;0;0;0;18.50523;39.5;0;0;0;0;0;
2018-02-05 15:12:52;25.00072;25;25;25;0.3055074;0.3110647;0.4298553;15.7521;;;0;0;0;0;0;0;18.50111;39.34375;0;0;0;0;0;
2018-02-05 15:13:52;25.00203;25;25;25;0.2874725;0.2882918;0.4039667;14.78077;;;0;0;0;0;0;0;18.50578;39.34375;0;0;0;0;0;
2018-02-05 15:14:52;25.00404;25;25;25;0.2755066;0.2630405;0.3691545;14.13092;;;0;0;0;0;0;0;18.50262;39.21875;0;0;0;0;0;
2018-02-05 15:15:52;24.99995;25;25;25;0.3281874;0.3382355;0.4678479;16.97345;;;0;0;0;0;0;0;18.50839;39.15625;0;0;0;0;0;
2018-02-05 15:16:52;25.00752;25;25;25;0.2895608;0.2901437;0.411037;14.85542;;;0;0;0;0;0;0;18.50674;39.125;0;0;0;0;0;
2018-02-05 15:17:52;24.98463;25;25;25;0.4266877;0.4272863;0.5871813;22.43316;;;0;0;0;0;0;0;18.51224;39.09375;0;0;0;0;0;
2018-02-05 15:18:52;25.01003;25;25;25;0.3350701;0.3290763;0.4556857;17.2768;;;0;0;0;0;0;0;18.5121;39.0625;0;0;0;0;0;
2018-02-05 15:19:52;24.9915;25;25;25;0.3880319;0.3887433;0.5350143;20.27035;;;0;0;0;0;0;0;18.5121;38.96875;0;0;0;0;0;
2018-02-05 15:20:52;24.99013;25;25;25;0.3735241;0.374492;0.5176668;19.48997;;;0;0;0;0;0;0;18.51952;38.9375;0;0;0;0;0;
2018-02-05 15:21:52;24.99394;25;25;25;0.3200478;0.3200043;0.4456879;16.57656;;;0;0;0;0;0;0;18.50606;38.84375;0;0;0;0;0;
2018-02-05 15:22:52;25.00044;25;25;25;0.3542036;0.3734993;0.5131692;18.3733;;;0;0;0;0;0;0;18.52007;38.8125;0;0;0;0;0;
2018-02-05 15:23:52;25.00166;25;25;25;0.3815631;0.3916525;0.5321317;19.84986;;;0;0;0;0;0;0;18.5213;38.75;0;0;0;0;0;
2018-02-05 15:24:52;25.0096;25;25;25;0.3248748;0.3208139;0.445797;16.7312;;;0;0;0;0;0;0;18.51443;38.78125;0;0;0;0;0;
2018-02-05 15:25:52;24.99861;25;25;25;0.4330005;0.4358179;0.5918486;22.68682;;;0;0;0;0;0;0;18.51334;38.71875;0;0;0;0;0;
2018-02-05 15:26:52;24.99193;25;25;25;0.4225659;0.4148667;0.5788293;22.15761;;;0;0;0;0;0;0;18.51457;38.6875;0;0;0;0;0;
2018-02-05 15:27:52;25.01485;25;25;25;0.3340564;0.3356798;0.4680789;17.19013;;;0;0;0;0;0;0;18.51924;38.625;0;0;0;0;0;
2018-02-05 15:28:52;25.00624;25;25;25;0.4230951;0.3998456;0.539776;22.09109;;;0;0;0;0;0;0;18.51897;38.65625;0;0;0;0;0;
2018-02-05 15:29:52;24.99232;25;25;25;0.3713135;0.3819855;0.536922;19.35512;;;0;0;0;0;0;0;18.51608;38.5625;0;0;0;0;0;
2018-02-05 15:30:52;25.0096;25;25;25;0.3193287;0.3236344;0.4514938;16.43341;;;0;0;0;0;0;0;18.51883;38.625;0;0;0;0;0;
2018-02-05 15:31:52;24.9915;25;25;25;0.4131035;0.3997687;0.549118;21.6411;;;0;0;0;0;0;0;18.51581;38.5;0;0;0;0;0;
2018-02-05 15:32:52;24.99409;25;25;25;0.4088888;0.4095823;0.5602807;21.39272;;;0;0;0;0;0;0;18.52144;38.46875;0;0;0;0;0;
2018-02-05 15:33:52;25.00746;25;25;25;0.3107603;0.3044539;0.4199774;15.98832;;;0;0;0;0;0;0;18.50853;38.375;0;0;0;0;0;
2018-02-05 15:34:52;25.00188;25;25;25;0.4032182;0.4157473;0.575664;21.03019;;;0;0;0;0;0;0;18.51663;38.40625;0;0;0;0;0;
2018-02-05 15:35:52;25.01021;25;25;25;0.3505553;0.3532804;0.5249642;18.11105;;;0;0;0;0;0;0;18.51993;38.40625;0;0;0;0;0;
2018-02-05 15:36:52;25.00533;25;25;25;0.4065678;0.4067352;0.5794304;21.1906;;;0;0;0;0;0;0;18.53091;38.5;0;0;0;0;0;
2018-02-05 15:37:52;24.99702;25;25;25;0.4498724;0.4876367;0.6676056;23.62854;;;0;0;0;0;0;0;18.52432;38.46875;0;0;0;0;0;
2018-02-05 15:38:52;24.98747;25;25;25;0.4511861;0.4534627;0.6257854;23.7653;;;0;0;0;0;0;0;18.51855;38.34375;0;0;0;0;0;
2018-02-05 15:39:52;25.00731;25;25;25;0.3843637;0.3843711;0.5331188;19.96482;;;0;0;0;0;0;0;18.51746;38.3125;0;0;0;0;0;
2018-02-05 15:40:52;25.01479;25;25;25;0.3022899;0.3010096;0.4181749;15.48637;;;0;0;0;0;0;0;18.52075;38.25;0;0;0;0;0;
2018-02-05 15:41:52;25.00905;25;25;25;0.3178703;0.3203663;0.4480918;16.35882;;;0;0;0;0;0;0;18.5257;38.21875;0;0;0;0;0;
2018-02-05 15:42:52;25.00117;25;25;25;0.3151848;0.2992253;0.4154872;16.26724;;;0;0;0;0;0;0;18.52625;38.125;0;0;0;0;0;
2018-02-05 15:43:52;25.01396;25;25;25;0.2570238;0.2638824;0.379006;13.08529;;;0;0;0;0;0;0;18.51608;38.1875;0;0;0;0;0;
2018-02-05 15:44:52;24.99382;25;25;25;0.358612;0.3703209;0.510075;18.65631;;;0;0;0;0;0;0;18.51691;38.0625;0;0;0;0;0;
2018-02-05 15:45:52;24.99382;25;25;25;0.3066353;0.3060932;0.4185089;15.8587;;;0;0;0;0;0;0;18.52144;38.03125;0;0;0;0;0;
2018-02-05 15:46:52;24.99657;25;25;25;0.254425;0.2497668;0.3411779;13.06405;;;0;0;0;0;0;0;18.51979;37.90625;0;0;0;0;0;
2018-02-05 15:47:52;25.02269;25;25;25;0.256424;0.2505509;0.3558812;12.99537;;;0;0;0;0;0;0;18.5202;38.03125;0;0;0;0;0;
2018-02-05 15:48:52;24.99373;25;25;25;0.3526158;0.3474638;0.4826045;18.33245;;;0;0;0;0;0;0;18.52899;38.0625;0;0;0;0;0;
2018-02-05 15:49:52;25.00121;25;25;25;0.3170002;0.3151229;0.4285;16.36438;;;0;0;0;0;0;0;18.52432;38.03125;0;0;0;0;0;
2018-02-05 15:50:52;24.98439;25;25;25;0.4180898;0.4180956;0.5674342;21.9624;;;0;0;0;0;0;0;18.51979;38;0;0;0;0;0;
2018-02-05 15:51:52;24.98445;25;25;25;0.4318566;0.4108504;0.5521906;22.71887;;;0;0;0;0;0;0;18.53188;38.0625;0;0;0;0;0;
2018-02-05 15:52:52;24.9882;25;25;25;0.4412898;0.453352;0.6144891;23.21367;;;0;0;0;0;0;0;18.52872;38.1875;0;0;0;0;0;
2018-02-05 15:53:52;24.98766;25;25;25;0.4725956;0.4628991;0.6311635;24.95102;;;0;0;0;0;0;0;18.53023;38.125;0;0;0;0;0;
2018-02-05 15:54:52;25.01076;25;25;25;0.2079623;0.2114367;0.2886825;10.52728;;;0;0;0;0;0;0;18.51045;38.125;0;0;0;0;0;
2018-02-05 15:55:52;25.00417;25;25;25;0.2611164;0.2577879;0.3591172;13.36716;;;0;0;0;0;0;0;18.51855;38.09375;0;0;0;0;0;
2018-02-05 15:56:55;25.01158;25;25;25;0.392607;0.3733492;0.5118042;20.38588;;;0;0;0;0;0;0;18.51952;38.09375;0;0;0;0;0;
2018-02-05 15:57:55;24.9912;25;25;25;0.4487199;0.4532;0.6124437;23.60397;;;0;0;0;0;0;0;18.5246;38.15625;0;0;0;0;0;
2018-02-05 15:58:55;24.99648;25;25;25;0.403429;0.3790993;0.5158181;21.07784;;;0;0;0;0;0;0;18.52075;38.1875;0;0;0;0;0;
2018-02-05 15:59:55;24.97981;25;25;25;0.4493718;0.4443454;0.6114886;23.71638;;;0;0;0;0;0;0;18.52144;38.25;0;0;0;0;0;
2018-02-05 16:00:55;24.97917;25;25;25;0.4503335;0.4655818;0.6442717;23.77386;;;0;0;0;0;0;0;18.52817;38.28125;0;0;0;0;0;
2018-02-05 16:01:55;24.994;25;25;25;0.3878087;0.3676637;0.5027945;20.24139;;;0;0;0;0;0;0;18.5202;38.21875;0;0;0;0;0;
2018-02-05 16:02:55;24.99443;25;25;25;0.3237004;0.3208001;0.4388815;16.76938;;;0;0;0;0;0;0;18.51993;38.21875;0;0;0;0;0;
2018-02-05 16:03:55;25.00142;25;25;25;0.392422;0.3641025;0.5039772;20.44333;;;0;0;0;0;0;0;18.52734;38.1875;0;0;0;0;0;
2018-02-05 16:04:55;25.00264;25;25;25;0.3163535;0.315921;0.4256428;16.32016;;;0;0;0;0;0;0;18.51581;38.09375;0;0;0;0;0;
